id,name,decipiline,launch date,launch time,launch site,launch status
21,IRS-1E,Earth Sciences,20-Sep-93,,"Satish Dhawan Space Centre, Sriharikota",0
22,SROSS-C2,"Astronomy,Space Physics",05-May-94,05:30:00 IST,"Satish Dhawan Space Centre, Sriharikota",1
23,IRS-P2,Earth Sciences,15-Oct-94,10:38:00 IST,"Satish Dhawan Space Centre, Sriharikota",1
24,INSAT-2C,Communications,07-Dec-95,04:53:00 IST,"Centre Spatial Guyanais, Kourou",1
25,IRS-1C,Earth Sciences,28-Dec-95,12:15:00 IST,"Baikonur Cosmodrome, Kazakhstan",1
26,IRS-P3 (IRS B3),"Astronomy,Earth Sciences",21-Mar-96,10:03:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
27,INSAT-2D,Communications,04-Jun-97,4:50:00 IST,"Centre Spatial Guyanais, Kourou",1
28,IRS-1D,Earth Sciences,29-Sep-97,10:17:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
29,INSAT-2E (APR-1),"Communications,Earth Sciences",02-Apr-99,8:30:00 IST,"Centre Spatial Guyanais, Kourou",1
30,OceanSat-1 (IRS-P4),Earth Sciences,26-May-99,11:52:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
31,INSAT-3B,Communications,22-Mar-00,4:59:00 IST,"Centre Spatial Guyanais, Kourou",1
32,"GSAT-1
(GramSat-1)","Communications,Engineering",18-Apr-01,15:43:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
33,TES,Earth Sciences,22-Oct-01,10:03:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
34,INSAT-3C,Communications,24-Jan-02,5:17:00 IST,"Centre Spatial Guyanais, Kourou",1
35,Kalpana-1 (MetSat-1),Earth Sciences,12-Sep-02,IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
36,INSAT-3A,"Communications,Earth Sciences",10-Apr-03,4:22:00 IST,"Centre Spatial Guyanais, Kourou",1
37,GSAT-2 (GramSat-2),Communications,08-May-03,16:58:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
38,INSAT-3E,Communications,28-Sep-03,4:44:00 IST,"Centre Spatial Guyanais, Kourou",1
39,ResourceSat-1(IRS-P6),Earth Sciences,17-Oct-03,10:24:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
40,GSAT-3 (EduSat),Communications,20-Sep-04,16:01:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
41,CartoSat-1,Earth Sciences,05-May-05,10:14:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
42,HamSat,Communications,05-May-05,10:14:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
43,INSAT-4A,Communications,22-Dec-05,4:03:00 IST,"Centre Spatial Guyanais, Kourou",1
44,INSAT-4C,Communications,38908,,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",
45,"CartoSat-2 (IRS-P7 or, CartoSat-2AT)",Earth Sciences,10-Jan-07,9:27:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
46,SRE-1,Engineering,10-Jan-07,9:27:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
47,INSAT-4B,Communications,12-Mar-07,3:33:00 IST,"Centre Spatial Guyanais, Kourou",1
48,INSAT-4CR,Communications,02-Sep-07,18:21:00 IST,"Satish Dhawan Space Centre, Sriharikota, Andhra Pradesh",1
